product_key,Sales,region_key,Profit
1,10822.36,1.0,62036.9837
2,15455.8125,2.0,6904.515
3,30041.5482,3.0,10526.295
4,11087.955,4.0,6872.1285
5,2832.96,5.0,5630.85
6,13715.394,6.0,16002.807
7,2733.12,7.0,2173.02
8,5244.84,8.0,3794.34
9,27453.384,9.0,2069.6859
10,9917.64,10.0,-1788.6868
11,16656.2,11.0,318.61830000000003
12,11186.0307,12.0,4410.6900000000005
13,5691.888,13.0,1325.43
14,5522.76,14.0,638.18
15,7020.549599999999,15.0,1313.37
16,3946.9080000000004,16.0,10327.437
17,7399.704,17.0,4518.8169
18,21147.084,18.0,4472.244
19,6607.1964,19.0,3565.038
20,4148.517,20.0,1022.4
21,2966.58,21.0,366.0
22,4901.914000000001,22.0,-6654.5688
23,21329.73,23.0,1451.82
24,9492.66,24.0,5174.139
25,4713.06,25.0,5138.92
26,3192.6580000000004,26.0,7611.18892
27,4287.9,27.0,1818.6000000000001
28,12996.6,28.0,2520.249
29,11765.484,29.0,30440.7579
30,15100.096000000001,30.0,3462.72
31,6015.014999999999,31.0,-3569.59656
32,21870.576,32.0,1304.4569999999999
33,2526.93,33.0,-387.9683
34,12995.2915,34.0,4453.782
35,10942.812,35.0,948.2681
36,7699.89,36.0,1068.66
37,7999.98,37.0,-5894.5269
38,10878.141000000001,38.0,4131.6900000000005
39,11169.9522,39.0,-45.02190000000001
40,9683.099999999999,40.0,4609.56
41,14474.868,41.0,2307.3300000000004
42,5066.976,42.0,839.958
43,15875.916000000001,43.0,6824.584599999999
44,9253.5,44.0,1222.554
45,15559.362,45.0,446.76
46,5391.8423999999995,46.0,1911.0600000000002
47,11429.788,47.0,868.12
48,2899.3799999999997,48.0,527.04
49,18839.686,49.0,880.0391999999999
50,9097.65,50.0,1999.92
51,4518.78,51.0,1361.19
52,10609.314,52.0,29156.096700000002
53,5669.874,53.0,5565.9
54,3577.947,54.0,1079.844
55,9531.7974,55.0,392.7116
56,13943.668,56.0,10297.48
57,7246.8216,57.0,1149.33
58,6965.700000000001,58.0,2491.35
59,11342.25,59.0,1261.05
60,4639.542,60.0,1409.743
61,11304.44,61.0,3107.4300000000003
62,10371.357,62.0,1155.24
63,3955.9416,63.0,1339.82304
64,16273.2,64.0,2748.33
65,2788.02,65.0,1764.18
66,11426.115,66.0,2455.2144
67,2443.48,67.0,1880.4
68,8379.36,68.0,95.68230000000003
69,3427.1496,69.0,15604.815
70,11249.2275,70.0,11294.538
71,12242.412,71.0,6993.6629
72,3465.642,72.0,2837.145
73,9113.0028,73.0,1489.8
74,8412.135,74.0,196.11
75,9617.964,75.0,1222.5030000000002
76,17965.068,76.0,3087.51
77,3219.9,77.0,5525.1992
78,7698.219599999999,78.0,-13837.7674
79,4759.524,79.0,2531.661
80,6625.3869,80.0,-33.07620000000012
81,8078.264999999999,81.0,6872.4
82,8550.5352,82.0,1987.71
83,3540.348,83.0,393.044
84,3405.024,84.0,2138.46
85,9273.312,85.0,-11158.5615
86,1847.52,86.0,7917.474
87,6296.904,87.0,1277.19
88,4956.432,88.0,448.33799999999997
89,4507.92,89.0,792.6825
90,8997.66,90.0,0.7515000000000001
91,12054.9996,91.0,9976.26
92,2167.296,92.0,8633.502
93,8374.725,93.0,1615.341
94,13215.648000000001,94.0,4361.9082
95,5965.09,95.0,356.9939999999999
96,9725.796,96.0,3386.904
97,6678.5838,97.0,3805.63732
98,6497.277,98.0,-2772.045
99,14299.89,99.0,3526.6735
100,3418.971,100.0,-10440.164999999999
101,7838.1,101.0,684.414
102,6662.8224,102.0,751.188
103,6974.52,103.0,4265.301
104,5787.3550000000005,104.0,2253.498
105,6653.325,105.0,614.01
106,6594.954,106.0,8495.532
107,12301.2,107.0,13181.7908
108,17094.0222,108.0,-100.13400000000003
109,6081.465,109.0,1156.56
110,18374.895,110.0,889.5239
111,19024.5,111.0,1360.0809
112,10258.1292,112.0,1418.68988
113,4281.705,113.0,1495.11
114,10422.24,114.0,1123.5
115,5098.176,115.0,-7124.8976999999995
116,61599.824,116.0,6377.196
117,2207.956,117.0,744.1917
118,2980.70024,118.0,1431.12
119,7113.1632,119.0,-3826.425
120,4868.447999999999,120.0,1123.6552000000001
121,9187.9695,121.0,988.12
122,13819.8108,122.0,905.9399999999999
123,12975.382,123.0,392.96999999999997
124,17433.1098,124.0,746.3956
125,4420.584,125.0,545.2863
